Name,Population
Russia,146150789
Turkey,85372377
Germany,84708010
United Kingdom,68265209
France,68513000
Italy,58974433
Spain,48946035
Poland,37552000
Ukraine,40960795
Romania,19064409
Kazakhstan,20201849
Netherlands,18005142
Belgium,11763650
Sweden,10576145
Czech Republic,10879069
Azerbaijan,10180800
Greece,10248505
Portugal,10639726
Hungary,9584627
Belarus,9155978
Austria,9154514
Switzerland,8931306
Serbia,6641197
Bulgaria,6447710
Denmark,5959464
Slovakia,5426248
Finland,5599869
Norway,5571634
Ireland,5149139
Croatia,3879074
Georgia,3688600
Moldova,2597100
Bosnia and Herzegovina,3219415
Albania,2793592
Lithuania,2864906
Slovenia,2107180
Latvia,1836713
North Macedonia,1773971
Kosovo,1331796
Estonia,918100
Cyprus,645397
Luxembourg,617683
Montenegro,520971
Malta,396960
Iceland,80120
Andorra,39315
Liechtenstein,39150
Monaco,33785
San Marino,764
Vatican City,764
